年,品目,都道府県,作付面積・収穫面積（a）,出荷量（千本、千鉢、千球）
2012,花壇用苗もの類_サルビア,岩手県,NA,NA
2013,花壇用苗もの類_サルビア,岩手県,NA,NA
2014,花壇用苗もの類_サルビア,岩手県,NA,NA
2015,花壇用苗もの類_サルビア,岩手県,NA,NA
2016,花壇用苗もの類_サルビア,岩手県,NA,NA
2017,花壇用苗もの類_サルビア,岩手県,NA,NA
2018,花壇用苗もの類_サルビア,岩手県,NA,NA
2019,花壇用苗もの類_サルビア,岩手県,NA,NA
2020,花壇用苗もの類_サルビア,岩手県,NA,NA
2021,花壇用苗もの類_サルビア,岩手県,NA,NA
1985,花壇用苗もの類_サルビア,宮城県,31,218
1986,花壇用苗もの類_サルビア,宮城県,37,211
1987,花壇用苗もの類_サルビア,宮城県,57,281
1988,花壇用苗もの類_サルビア,宮城県,92,398
1989,花壇用苗もの類_サルビア,宮城県,91,474
1990,花壇用苗もの類_サルビア,宮城県,66,274
1991,花壇用苗もの類_サルビア,宮城県,76,339
1992,花壇用苗もの類_サルビア,宮城県,116,401
1993,花壇用苗もの類_サルビア,宮城県,162,547
1994,花壇用苗もの類_サルビア,宮城県,156,573
1995,花壇用苗もの類_サルビア,宮城県,170,595
1996,花壇用苗もの類_サルビア,宮城県,157,589
1997,花壇用苗もの類_サルビア,宮城県,164,588
1998,花壇用苗もの類_サルビア,宮城県,151,634
1999,花壇用苗もの類_サルビア,宮城県,160,627
2000,花壇用苗もの類_サルビア,宮城県,167,676
2001,花壇用苗もの類_サルビア,宮城県,211,766
2002,花壇用苗もの類_サルビア,宮城県,192,817
2003,花壇用苗もの類_サルビア,宮城県,231,890
2004,花壇用苗もの類_サルビア,宮城県,224,853
2005,花壇用苗もの類_サルビア,宮城県,199,733
2006,花壇用苗もの類_サルビア,宮城県,164,643
2007,花壇用苗もの類_サルビア,宮城県,NA,NA
2008,花壇用苗もの類_サルビア,宮城県,NA,NA
2009,花壇用苗もの類_サルビア,宮城県,NA,NA
2010,花壇用苗もの類_サルビア,宮城県,NA,NA
2011,花壇用苗もの類_サルビア,宮城県,NA,NA
2012,花壇用苗もの類_サルビア,宮城県,NA,NA
2013,花壇用苗もの類_サルビア,宮城県,NA,NA
2014,花壇用苗もの類_サルビア,宮城県,NA,NA
2015,花壇用苗もの類_サルビア,宮城県,NA,NA
2016,花壇用苗もの類_サルビア,宮城県,NA,NA
2017,花壇用苗もの類_サルビア,宮城県,NA,NA
2018,花壇用苗もの類_サルビア,宮城県,NA,NA
2019,花壇用苗もの類_サルビア,宮城県,NA,NA
2020,花壇用苗もの類_サルビア,宮城県,NA,NA
2021,花壇用苗もの類_サルビア,宮城県,NA,NA
1985,花壇用苗もの類_サルビア,秋田県,79,277
1986,花壇用苗もの類_サルビア,秋田県,79,231
1987,花壇用苗もの類_サルビア,秋田県,70,264
1988,花壇用苗もの類_サルビア,秋田県,69,301
1989,花壇用苗もの類_サルビア,秋田県,60,329
1990,花壇用苗もの類_サルビア,秋田県,61,304
1991,花壇用苗もの類_サルビア,秋田県,37,164
1992,花壇用苗もの類_サルビア,秋田県,50,186
1993,花壇用苗もの類_サルビア,秋田県,60,233
1994,花壇用苗もの類_サルビア,秋田県,54,252
1995,花壇用苗もの類_サルビア,秋田県,69,295
1996,花壇用苗もの類_サルビア,秋田県,NA,NA
1997,花壇用苗もの類_サルビア,秋田県,97,323
1998,花壇用苗もの類_サルビア,秋田県,NA,NA
1999,花壇用苗もの類_サルビア,秋田県,158,368
2000,花壇用苗もの類_サルビア,秋田県,148,350
2001,花壇用苗もの類_サルビア,秋田県,164,469
2002,花壇用苗もの類_サルビア,秋田県,150,439
2003,花壇用苗もの類_サルビア,秋田県,138,421
2004,花壇用苗もの類_サルビア,秋田県,138,383
2005,花壇用苗もの類_サルビア,秋田県,NA,NA
2006,花壇用苗もの類_サルビア,秋田県,NA,NA
2007,花壇用苗もの類_サルビア,秋田県,NA,NA
2008,花壇用苗もの類_サルビア,秋田県,NA,NA
2009,花壇用苗もの類_サルビア,秋田県,NA,NA
2010,花壇用苗もの類_サルビア,秋田県,NA,NA
2011,花壇用苗もの類_サルビア,秋田県,NA,NA
2012,花壇用苗もの類_サルビア,秋田県,NA,NA
2013,花壇用苗もの類_サルビア,秋田県,NA,NA
2014,花壇用苗もの類_サルビア,秋田県,NA,NA
2015,花壇用苗もの類_サルビア,秋田県,NA,NA
2016,花壇用苗もの類_サルビア,秋田県,NA,NA
2017,花壇用苗もの類_サルビア,秋田県,NA,NA
2018,花壇用苗もの類_サルビア,秋田県,NA,NA
2019,花壇用苗もの類_サルビア,秋田県,NA,NA
2020,花壇用苗もの類_サルビア,秋田県,NA,NA
2021,花壇用苗もの類_サルビア,秋田県,NA,NA
1985,花壇用苗もの類_サルビア,山形県,8,58
1986,花壇用苗もの類_サルビア,山形県,NA,NA
1987,花壇用苗もの類_サルビア,山形県,NA,NA
1988,花壇用苗もの類_サルビア,山形県,47,724
1989,花壇用苗もの類_サルビア,山形県,NA,NA
1990,花壇用苗もの類_サルビア,山形県,37,196
1991,花壇用苗もの類_サルビア,山形県,40,256
1992,花壇用苗もの類_サルビア,山形県,72,335
1993,花壇用苗もの類_サルビア,山形県,44,240
1994,花壇用苗もの類_サルビア,山形県,91,539
1995,花壇用苗もの類_サルビア,山形県,80,548
1996,花壇用苗もの類_サルビア,山形県,97,542
1997,花壇用苗もの類_サルビア,山形県,114,581
1998,花壇用苗もの類_サルビア,山形県,123,598
1999,花壇用苗もの類_サルビア,山形県,175,722
2000,花壇用苗もの類_サルビア,山形県,314,809
2001,花壇用苗もの類_サルビア,山形県,302,683
2002,花壇用苗もの類_サルビア,山形県,261,818
2003,花壇用苗もの類_サルビア,山形県,289,979
2004,花壇用苗もの類_サルビア,山形県,169,839
2005,花壇用苗もの類_サルビア,山形県,111,450
2006,花壇用苗もの類_サルビア,山形県,87,322
2007,花壇用苗もの類_サルビア,山形県,NA,NA
2008,花壇用苗もの類_サルビア,山形県,NA,NA
2009,花壇用苗もの類_サルビア,山形県,NA,NA
2010,花壇用苗もの類_サルビア,山形県,NA,NA
2011,花壇用苗もの類_サルビア,山形県,NA,NA
2012,花壇用苗もの類_サルビア,山形県,NA,NA
2013,花壇用苗もの類_サルビア,山形県,NA,NA
2014,花壇用苗もの類_サルビア,山形県,NA,NA
2015,花壇用苗もの類_サルビア,山形県,NA,NA
2016,花壇用苗もの類_サルビア,山形県,NA,NA
2017,花壇用苗もの類_サルビア,山形県,NA,NA
2018,花壇用苗もの類_サルビア,山形県,NA,NA
2019,花壇用苗もの類_サルビア,山形県,NA,NA
2020,花壇用苗もの類_サルビア,山形県,NA,NA
2021,花壇用苗もの類_サルビア,山形県,NA,NA
1985,花壇用苗もの類_サルビア,福島県,26,90
1986,花壇用苗もの類_サルビア,福島県,NA,NA
1987,花壇用苗もの類_サルビア,福島県,NA,NA
1988,花壇用苗もの類_サルビア,福島県,45,143
1989,花壇用苗もの類_サルビア,福島県,NA,NA
1990,花壇用苗もの類_サルビア,福島県,46,173
1991,花壇用苗もの類_サルビア,福島県,66,255
1992,花壇用苗もの類_サルビア,福島県,60,237
1993,花壇用苗もの類_サルビア,福島県,80,310
1994,花壇用苗もの類_サルビア,福島県,94,381
1995,花壇用苗もの類_サルビア,福島県,NA,NA
1996,花壇用苗もの類_サルビア,福島県,109,452
1997,花壇用苗もの類_サルビア,福島県,104,428
1998,花壇用苗もの類_サルビア,福島県,116,461
1999,花壇用苗もの類_サルビア,福島県,123,633
2000,花壇用苗もの類_サルビア,福島県,114,583
2001,花壇用苗もの類_サルビア,福島県,113,568
2002,花壇用苗もの類_サルビア,福島県,190,687
2003,花壇用苗もの類_サルビア,福島県,171,781
2004,花壇用苗もの類_サルビア,福島県,202,863
2005,花壇用苗もの類_サルビア,福島県,162,799
2006,花壇用苗もの類_サルビア,福島県,146,653
2007,花壇用苗もの類_サルビア,福島県,NA,NA
2008,花壇用苗もの類_サルビア,福島県,NA,NA
2009,花壇用苗もの類_サルビア,福島県,NA,NA
2010,花壇用苗もの類_サルビア,福島県,NA,NA
2011,花壇用苗もの類_サルビア,福島県,NA,NA
2012,花壇用苗もの類_サルビア,福島県,NA,NA
2013,花壇用苗もの類_サルビア,福島県,NA,NA
2014,花壇用苗もの類_サルビア,福島県,NA,NA
2015,花壇用苗もの類_サルビア,福島県,NA,NA
2016,花壇用苗もの類_サルビア,福島県,NA,NA
2017,花壇用苗もの類_サルビア,福島県,NA,NA
2018,花壇用苗もの類_サルビア,福島県,NA,NA
2019,花壇用苗もの類_サルビア,福島県,NA,NA
2020,花壇用苗もの類_サルビア,福島県,NA,NA
2021,花壇用苗もの類_サルビア,福島県,NA,NA
1985,花壇用苗もの類_サルビア,茨城県,39,172
1986,花壇用苗もの類_サルビア,茨城県,NA,NA
1987,花壇用苗もの類_サルビア,茨城県,NA,NA
1988,花壇用苗もの類_サルビア,茨城県,73,278
1989,花壇用苗もの類_サルビア,茨城県,NA,NA
1990,花壇用苗もの類_サルビア,茨城県,74,243
1991,花壇用苗もの類_サルビア,茨城県,83,258
1992,花壇用苗もの類_サルビア,茨城県,99,326
1993,花壇用苗もの類_サルビア,茨城県,122,352
1994,花壇用苗もの類_サルビア,茨城県,124,387
1995,花壇用苗もの類_サルビア,茨城県,108,349
1996,花壇用苗もの類_サルビア,茨城県,116,465
1997,花壇用苗もの類_サルビア,茨城県,103,357
1998,花壇用苗もの類_サルビア,茨城県,141,472
1999,花壇用苗もの類_サルビア,茨城県,158,489
2000,花壇用苗もの類_サルビア,茨城県,180,514
2001,花壇用苗もの類_サルビア,茨城県,189,573
2002,花壇用苗もの類_サルビア,茨城県,198,600
2003,花壇用苗もの類_サルビア,茨城県,196,602
2004,花壇用苗もの類_サルビア,茨城県,199,588
2005,花壇用苗もの類_サルビア,茨城県,197,605
2006,花壇用苗もの類_サルビア,茨城県,182,560
2007,花壇用苗もの類_サルビア,茨城県,NA,NA
2008,花壇用苗もの類_サルビア,茨城県,NA,NA
2009,花壇用苗もの類_サルビア,茨城県,NA,NA
2010,花壇用苗もの類_サルビア,茨城県,NA,NA
2011,花壇用苗もの類_サルビア,茨城県,NA,NA
2012,花壇用苗もの類_サルビア,茨城県,NA,NA
2013,花壇用苗もの類_サルビア,茨城県,NA,NA
2014,花壇用苗もの類_サルビア,茨城県,NA,NA
2015,花壇用苗もの類_サルビア,茨城県,NA,NA
2016,花壇用苗もの類_サルビア,茨城県,NA,NA
2017,花壇用苗もの類_サルビア,茨城県,NA,NA
2018,花壇用苗もの類_サルビア,茨城県,NA,NA
2019,花壇用苗もの類_サルビア,茨城県,NA,NA
2020,花壇用苗もの類_サルビア,茨城県,NA,NA
2021,花壇用苗もの類_サルビア,茨城県,NA,NA
1985,花壇用苗もの類_サルビア,栃木県,75,233
1986,花壇用苗もの類_サルビア,栃木県,103,284
1987,花壇用苗もの類_サルビア,栃木県,101,435
1988,花壇用苗もの類_サルビア,栃木県,93,505
1989,花壇用苗もの類_サルビア,栃木県,106,546
1990,花壇用苗もの類_サルビア,栃木県,50,250
1991,花壇用苗もの類_サルビア,栃木県,71,261
1992,花壇用苗もの類_サルビア,栃木県,86,308
1993,花壇用苗もの類_サルビア,栃木県,83,268
1994,花壇用苗もの類_サルビア,栃木県,122,483
1995,花壇用苗もの類_サルビア,栃木県,152,614
1996,花壇用苗もの類_サルビア,栃木県,120,486
1997,花壇用苗もの類_サルビア,栃木県,113,476
1998,花壇用苗もの類_サルビア,栃木県,129,530
1999,花壇用苗もの類_サルビア,栃木県,73,294
2000,花壇用苗もの類_サルビア,栃木県,88,361
2001,花壇用苗もの類_サルビア,栃木県,67,246
2002,花壇用苗もの類_サルビア,栃木県,62,316
2003,花壇用苗もの類_サルビア,栃木県,81,382
2004,花壇用苗もの類_サルビア,栃木県,74,319
