年,品目,都道府県,作付面積・収穫面積（a）,出荷量（千本、千鉢、千球）
2009,花壇用苗もの類_サルビア,和歌山県,NA,NA
2010,花壇用苗もの類_サルビア,和歌山県,NA,NA
2011,花壇用苗もの類_サルビア,和歌山県,NA,NA
2012,花壇用苗もの類_サルビア,和歌山県,NA,NA
2013,花壇用苗もの類_サルビア,和歌山県,NA,NA
2014,花壇用苗もの類_サルビア,和歌山県,NA,NA
2015,花壇用苗もの類_サルビア,和歌山県,NA,NA
2016,花壇用苗もの類_サルビア,和歌山県,NA,NA
2017,花壇用苗もの類_サルビア,和歌山県,NA,NA
2018,花壇用苗もの類_サルビア,和歌山県,NA,NA
2019,花壇用苗もの類_サルビア,和歌山県,NA,NA
2020,花壇用苗もの類_サルビア,和歌山県,NA,NA
2021,花壇用苗もの類_サルビア,和歌山県,NA,NA
1985,花壇用苗もの類_サルビア,鳥取県,73,280
1986,花壇用苗もの類_サルビア,鳥取県,NA,NA
1987,花壇用苗もの類_サルビア,鳥取県,NA,NA
1988,花壇用苗もの類_サルビア,鳥取県,31,199
1989,花壇用苗もの類_サルビア,鳥取県,NA,NA
1990,花壇用苗もの類_サルビア,鳥取県,23,196
1991,花壇用苗もの類_サルビア,鳥取県,23,196
1992,花壇用苗もの類_サルビア,鳥取県,12,80
1993,花壇用苗もの類_サルビア,鳥取県,6,35
1994,花壇用苗もの類_サルビア,鳥取県,17,80
1995,花壇用苗もの類_サルビア,鳥取県,30,199
1996,花壇用苗もの類_サルビア,鳥取県,NA,NA
1997,花壇用苗もの類_サルビア,鳥取県,15,75
1998,花壇用苗もの類_サルビア,鳥取県,NA,NA
1999,花壇用苗もの類_サルビア,鳥取県,31,157
2000,花壇用苗もの類_サルビア,鳥取県,39,185
2001,花壇用苗もの類_サルビア,鳥取県,75,375
2002,花壇用苗もの類_サルビア,鳥取県,77,318
2003,花壇用苗もの類_サルビア,鳥取県,55,230
2004,花壇用苗もの類_サルビア,鳥取県,85,375
2005,花壇用苗もの類_サルビア,鳥取県,NA,NA
2006,花壇用苗もの類_サルビア,鳥取県,NA,NA
2007,花壇用苗もの類_サルビア,鳥取県,NA,NA
2008,花壇用苗もの類_サルビア,鳥取県,NA,NA
2009,花壇用苗もの類_サルビア,鳥取県,NA,NA
2010,花壇用苗もの類_サルビア,鳥取県,NA,NA
2011,花壇用苗もの類_サルビア,鳥取県,NA,NA
2012,花壇用苗もの類_サルビア,鳥取県,NA,NA
2013,花壇用苗もの類_サルビア,鳥取県,NA,NA
2014,花壇用苗もの類_サルビア,鳥取県,NA,NA
2015,花壇用苗もの類_サルビア,鳥取県,NA,NA
2016,花壇用苗もの類_サルビア,鳥取県,NA,NA
2017,花壇用苗もの類_サルビア,鳥取県,NA,NA
2018,花壇用苗もの類_サルビア,鳥取県,NA,NA
2019,花壇用苗もの類_サルビア,鳥取県,NA,NA
2020,花壇用苗もの類_サルビア,鳥取県,NA,NA
2021,花壇用苗もの類_サルビア,鳥取県,NA,NA
1985,花壇用苗もの類_サルビア,島根県,5,7
1986,花壇用苗もの類_サルビア,島根県,NA,NA
1987,花壇用苗もの類_サルビア,島根県,NA,NA
1988,花壇用苗もの類_サルビア,島根県,12,58
1989,花壇用苗もの類_サルビア,島根県,NA,NA
1990,花壇用苗もの類_サルビア,島根県,25,91
1991,花壇用苗もの類_サルビア,島根県,20,109
1992,花壇用苗もの類_サルビア,島根県,20,99
1993,花壇用苗もの類_サルビア,島根県,27,126
1994,花壇用苗もの類_サルビア,島根県,32,140
1995,花壇用苗もの類_サルビア,島根県,NA,NA
1996,花壇用苗もの類_サルビア,島根県,NA,NA
1997,花壇用苗もの類_サルビア,島根県,50,301
1998,花壇用苗もの類_サルビア,島根県,NA,NA
1999,花壇用苗もの類_サルビア,島根県,47,191
2000,花壇用苗もの類_サルビア,島根県,58,258
2001,花壇用苗もの類_サルビア,島根県,67,292
2002,花壇用苗もの類_サルビア,島根県,63,284
2003,花壇用苗もの類_サルビア,島根県,60,265
2004,花壇用苗もの類_サルビア,島根県,56,253
2005,花壇用苗もの類_サルビア,島根県,NA,NA
2006,花壇用苗もの類_サルビア,島根県,NA,NA
2007,花壇用苗もの類_サルビア,島根県,NA,NA
2008,花壇用苗もの類_サルビア,島根県,NA,NA
2009,花壇用苗もの類_サルビア,島根県,NA,NA
2010,花壇用苗もの類_サルビア,島根県,NA,NA
2011,花壇用苗もの類_サルビア,島根県,NA,NA
2012,花壇用苗もの類_サルビア,島根県,NA,NA
2013,花壇用苗もの類_サルビア,島根県,NA,NA
2014,花壇用苗もの類_サルビア,島根県,NA,NA
2015,花壇用苗もの類_サルビア,島根県,NA,NA
2016,花壇用苗もの類_サルビア,島根県,NA,NA
2017,花壇用苗もの類_サルビア,島根県,NA,NA
2018,花壇用苗もの類_サルビア,島根県,NA,NA
2019,花壇用苗もの類_サルビア,島根県,NA,NA
2020,花壇用苗もの類_サルビア,島根県,NA,NA
2021,花壇用苗もの類_サルビア,島根県,NA,NA
1985,花壇用苗もの類_サルビア,岡山県,7,23
1986,花壇用苗もの類_サルビア,岡山県,NA,NA
1987,花壇用苗もの類_サルビア,岡山県,NA,NA
1988,花壇用苗もの類_サルビア,岡山県,17,103
1989,花壇用苗もの類_サルビア,岡山県,NA,NA
1990,花壇用苗もの類_サルビア,岡山県,106,562
1991,花壇用苗もの類_サルビア,岡山県,34,169
1992,花壇用苗もの類_サルビア,岡山県,176,269
1993,花壇用苗もの類_サルビア,岡山県,44,200
1994,花壇用苗もの類_サルビア,岡山県,51,287
1995,花壇用苗もの類_サルビア,岡山県,42,292
1996,花壇用苗もの類_サルビア,岡山県,35,155
1997,花壇用苗もの類_サルビア,岡山県,54,354
1998,花壇用苗もの類_サルビア,岡山県,56,333
1999,花壇用苗もの類_サルビア,岡山県,64,359
2000,花壇用苗もの類_サルビア,岡山県,67,387
2001,花壇用苗もの類_サルビア,岡山県,77,346
2002,花壇用苗もの類_サルビア,岡山県,81,334
2003,花壇用苗もの類_サルビア,岡山県,85,384
2004,花壇用苗もの類_サルビア,岡山県,96,370
2005,花壇用苗もの類_サルビア,岡山県,NA,NA
2006,花壇用苗もの類_サルビア,岡山県,NA,NA
2007,花壇用苗もの類_サルビア,岡山県,NA,NA
2008,花壇用苗もの類_サルビア,岡山県,NA,NA
2009,花壇用苗もの類_サルビア,岡山県,NA,NA
2010,花壇用苗もの類_サルビア,岡山県,NA,NA
2011,花壇用苗もの類_サルビア,岡山県,NA,NA
2012,花壇用苗もの類_サルビア,岡山県,NA,NA
2013,花壇用苗もの類_サルビア,岡山県,NA,NA
2014,花壇用苗もの類_サルビア,岡山県,NA,NA
2015,花壇用苗もの類_サルビア,岡山県,NA,NA
2016,花壇用苗もの類_サルビア,岡山県,NA,NA
2017,花壇用苗もの類_サルビア,岡山県,NA,NA
2018,花壇用苗もの類_サルビア,岡山県,NA,NA
2019,花壇用苗もの類_サルビア,岡山県,NA,NA
2020,花壇用苗もの類_サルビア,岡山県,NA,NA
2021,花壇用苗もの類_サルビア,岡山県,NA,NA
1985,花壇用苗もの類_サルビア,広島県,5,13
1986,花壇用苗もの類_サルビア,広島県,NA,NA
1987,花壇用苗もの類_サルビア,広島県,NA,NA
1988,花壇用苗もの類_サルビア,広島県,18,98
1989,花壇用苗もの類_サルビア,広島県,NA,NA
1990,花壇用苗もの類_サルビア,広島県,40,178
1991,花壇用苗もの類_サルビア,広島県,29,130
1992,花壇用苗もの類_サルビア,広島県,30,188
1993,花壇用苗もの類_サルビア,広島県,32,155
1994,花壇用苗もの類_サルビア,広島県,47,224
1995,花壇用苗もの類_サルビア,広島県,NA,NA
1996,花壇用苗もの類_サルビア,広島県,NA,NA
1997,花壇用苗もの類_サルビア,広島県,78,467
1998,花壇用苗もの類_サルビア,広島県,NA,NA
1999,花壇用苗もの類_サルビア,広島県,90,491
2000,花壇用苗もの類_サルビア,広島県,115,539
2001,花壇用苗もの類_サルビア,広島県,107,502
2002,花壇用苗もの類_サルビア,広島県,125,691
2003,花壇用苗もの類_サルビア,広島県,122,677
2004,花壇用苗もの類_サルビア,広島県,106,677
2005,花壇用苗もの類_サルビア,広島県,110,699
2006,花壇用苗もの類_サルビア,広島県,93,517
2007,花壇用苗もの類_サルビア,広島県,NA,NA
2008,花壇用苗もの類_サルビア,広島県,NA,NA
2009,花壇用苗もの類_サルビア,広島県,NA,NA
2010,花壇用苗もの類_サルビア,広島県,NA,NA
2011,花壇用苗もの類_サルビア,広島県,NA,NA
2012,花壇用苗もの類_サルビア,広島県,NA,NA
2013,花壇用苗もの類_サルビア,広島県,NA,NA
2014,花壇用苗もの類_サルビア,広島県,NA,NA
2015,花壇用苗もの類_サルビア,広島県,NA,NA
2016,花壇用苗もの類_サルビア,広島県,NA,NA
2017,花壇用苗もの類_サルビア,広島県,NA,NA
2018,花壇用苗もの類_サルビア,広島県,NA,NA
2019,花壇用苗もの類_サルビア,広島県,NA,NA
2020,花壇用苗もの類_サルビア,広島県,NA,NA
2021,花壇用苗もの類_サルビア,広島県,NA,NA
1985,花壇用苗もの類_サルビア,山口県,10,117
1986,花壇用苗もの類_サルビア,山口県,NA,NA
1987,花壇用苗もの類_サルビア,山口県,NA,NA
1988,花壇用苗もの類_サルビア,山口県,12,75
1989,花壇用苗もの類_サルビア,山口県,NA,NA
1990,花壇用苗もの類_サルビア,山口県,49,182
1991,花壇用苗もの類_サルビア,山口県,52,228
1992,花壇用苗もの類_サルビア,山口県,50,173
1993,花壇用苗もの類_サルビア,山口県,47,184
1994,花壇用苗もの類_サルビア,山口県,48,160
1995,花壇用苗もの類_サルビア,山口県,NA,NA
1996,花壇用苗もの類_サルビア,山口県,NA,NA
1997,花壇用苗もの類_サルビア,山口県,61,191
1998,花壇用苗もの類_サルビア,山口県,NA,NA
1999,花壇用苗もの類_サルビア,山口県,81,294
2000,花壇用苗もの類_サルビア,山口県,120,392
2001,花壇用苗もの類_サルビア,山口県,106,396
2002,花壇用苗もの類_サルビア,山口県,95,363
2003,花壇用苗もの類_サルビア,山口県,95,375
2004,花壇用苗もの類_サルビア,山口県,89,395
2005,花壇用苗もの類_サルビア,山口県,NA,NA
2006,花壇用苗もの類_サルビア,山口県,86,420
2007,花壇用苗もの類_サルビア,山口県,NA,NA
2008,花壇用苗もの類_サルビア,山口県,NA,NA
2009,花壇用苗もの類_サルビア,山口県,NA,NA
2010,花壇用苗もの類_サルビア,山口県,NA,NA
2011,花壇用苗もの類_サルビア,山口県,NA,NA
2012,花壇用苗もの類_サルビア,山口県,NA,NA
2013,花壇用苗もの類_サルビア,山口県,NA,NA
2014,花壇用苗もの類_サルビア,山口県,NA,NA
2015,花壇用苗もの類_サルビア,山口県,NA,NA
2016,花壇用苗もの類_サルビア,山口県,NA,NA
2017,花壇用苗もの類_サルビア,山口県,NA,NA
2018,花壇用苗もの類_サルビア,山口県,NA,NA
2019,花壇用苗もの類_サルビア,山口県,NA,NA
2020,花壇用苗もの類_サルビア,山口県,NA,NA
2021,花壇用苗もの類_サルビア,山口県,NA,NA
1985,花壇用苗もの類_サルビア,徳島県,3,12
1986,花壇用苗もの類_サルビア,徳島県,NA,NA
1987,花壇用苗もの類_サルビア,徳島県,NA,NA
1988,花壇用苗もの類_サルビア,徳島県,4,11
1989,花壇用苗もの類_サルビア,徳島県,NA,NA
1990,花壇用苗もの類_サルビア,徳島県,15,86
1991,花壇用苗もの類_サルビア,徳島県,26,136
1992,花壇用苗もの類_サルビア,徳島県,44,345
1993,花壇用苗もの類_サルビア,徳島県,58,396
1994,花壇用苗もの類_サルビア,徳島県,37,204
1995,花壇用苗もの類_サルビア,徳島県,NA,NA
1996,花壇用苗もの類_サルビア,徳島県,NA,NA
1997,花壇用苗もの類_サルビア,徳島県,83,521
1998,花壇用苗もの類_サルビア,徳島県,NA,NA
1999,花壇用苗もの類_サルビア,徳島県,34,239
2000,花壇用苗もの類_サルビア,徳島県,31,167
2001,花壇用苗もの類_サルビア,徳島県,34,175
2002,花壇用苗もの類_サルビア,徳島県,47,273
2003,花壇用苗もの類_サルビア,徳島県,39,195
2004,花壇用苗もの類_サルビア,徳島県,35,120
2005,花壇用苗もの類_サルビア,徳島県,NA,NA
2006,花壇用苗もの類_サルビア,徳島県,NA,NA
2007,花壇用苗もの類_サルビア,徳島県,NA,NA
2008,花壇用苗もの類_サルビア,徳島県,NA,NA
2009,花壇用苗もの類_サルビア,徳島県,NA,NA
2010,花壇用苗もの類_サルビア,徳島県,NA,NA
2011,花壇用苗もの類_サルビア,徳島県,NA,NA
2012,花壇用苗もの類_サルビア,徳島県,NA,NA
2013,花壇用苗もの類_サルビア,徳島県,NA,NA
2014,花壇用苗もの類_サルビア,徳島県,NA,NA
2015,花壇用苗もの類_サルビア,徳島県,NA,NA
2016,花壇用苗もの類_サルビア,徳島県,NA,NA
2017,花壇用苗もの類_サルビア,徳島県,NA,NA
2018,花壇用苗もの類_サルビア,徳島県,NA,NA
2019,花壇用苗もの類_サルビア,徳島県,NA,NA
2020,花壇用苗もの類_サルビア,徳島県,NA,NA
2021,花壇用苗もの類_サルビア,徳島県,NA,NA
1985,花壇用苗もの類_サルビア,香川県,2,10
1986,花壇用苗もの類_サルビア,香川県,NA,NA
1987,花壇用苗もの類_サルビア,香川県,NA,NA
1988,花壇用苗もの類_サルビア,香川県,8,19
1989,花壇用苗もの類_サルビア,香川県,NA,NA
1990,花壇用苗もの類_サルビア,香川県,24,109
1991,花壇用苗もの類_サルビア,香川県,16,75
1992,花壇用苗もの類_サルビア,香川県,16,121
1993,花壇用苗もの類_サルビア,香川県,109,466
1994,花壇用苗もの類_サルビア,香川県,113,456
1995,花壇用苗もの類_サルビア,香川県,NA,NA
1996,花壇用苗もの類_サルビア,香川県,29,185
1997,花壇用苗もの類_サルビア,香川県,55,330
1998,花壇用苗もの類_サルビア,香川県,32,189
1999,花壇用苗もの類_サルビア,香川県,54,301
2000,花壇用苗もの類_サルビア,香川県,42,231
2001,花壇用苗もの類_サルビア,香川県,39,145
2002,花壇用苗もの類_サルビア,香川県,42,190
2003,花壇用苗もの類_サルビア,香川県,39,184
2004,花壇用苗もの類_サルビア,香川県,48,194
2005,花壇用苗もの類_サルビア,香川県,NA,NA
2006,花壇用苗もの類_サルビア,香川県,NA,NA
2007,花壇用苗もの類_サルビア,香川県,NA,NA
2008,花壇用苗もの類_サルビア,香川県,NA,NA
2009,花壇用苗もの類_サルビア,香川県,NA,NA
2010,花壇用苗もの類_サルビア,香川県,NA,NA
2011,花壇用苗もの類_サルビア,香川県,NA,NA
2012,花壇用苗もの類_サルビア,香川県,NA,NA
2013,花壇用苗もの類_サルビア,香川県,NA,NA
2014,花壇用苗もの類_サルビア,香川県,NA,NA
2015,花壇用苗もの類_サルビア,香川県,NA,NA
2016,花壇用苗もの類_サルビア,香川県,NA,NA
2017,花壇用苗もの類_サルビア,香川県,NA,NA
2018,花壇用苗もの類_サルビア,香川県,NA,NA
2019,花壇用苗もの類_サルビア,香川県,NA,NA
2020,花壇用苗もの類_サルビア,香川県,NA,NA
2021,花壇用苗もの類_サルビア,香川県,NA,NA
1985,花壇用苗もの類_サルビア,愛媛県,23,54
1986,花壇用苗もの類_サルビア,愛媛県,NA,NA
1987,花壇用苗もの類_サルビア,愛媛県,NA,NA
1988,花壇用苗もの類_サルビア,愛媛県,34,91
1989,花壇用苗もの類_サルビア,愛媛県,NA,NA
1990,花壇用苗もの類_サルビア,愛媛県,31,93
1991,花壇用苗もの類_サルビア,愛媛県,30,89
1992,花壇用苗もの類_サルビア,愛媛県,29,91
1993,花壇用苗もの類_サルビア,愛媛県,31,101
1994,花壇用苗もの類_サルビア,愛媛県,51,167
1995,花壇用苗もの類_サルビア,愛媛県,NA,NA
1996,花壇用苗もの類_サルビア,愛媛県,NA,NA
1997,花壇用苗もの類_サルビア,愛媛県,46,139
1998,花壇用苗もの類_サルビア,愛媛県,NA,NA
1999,花壇用苗もの類_サルビア,愛媛県,73,251
2000,花壇用苗もの類_サルビア,愛媛県,66,242
2001,花壇用苗もの類_サルビア,愛媛県,62,225
2002,花壇用苗もの類_サルビア,愛媛県,55,206
2003,花壇用苗もの類_サルビア,愛媛県,61,243
2004,花壇用苗もの類_サルビア,愛媛県,54,202
2005,花壇用苗もの類_サルビア,愛媛県,NA,NA
2006,花壇用苗もの類_サルビア,愛媛県,NA,NA
2007,花壇用苗もの類_サルビア,愛媛県,NA,NA
2008,花壇用苗もの類_サルビア,愛媛県,NA,NA
2009,花壇用苗もの類_サルビア,愛媛県,NA,NA
2010,花壇用苗もの類_サルビア,愛媛県,NA,NA
2011,花壇用苗もの類_サルビア,愛媛県,NA,NA
2012,花壇用苗もの類_サルビア,愛媛県,NA,NA
2013,花壇用苗もの類_サルビア,愛媛県,NA,NA
2014,花壇用苗もの類_サルビア,愛媛県,NA,NA
2015,花壇用苗もの類_サルビア,愛媛県,NA,NA
2016,花壇用苗もの類_サルビア,愛媛県,NA,NA
2017,花壇用苗もの類_サルビア,愛媛県,NA,NA
2018,花壇用苗もの類_サルビア,愛媛県,NA,NA
2019,花壇用苗もの類_サルビア,愛媛県,NA,NA
2020,花壇用苗もの類_サルビア,愛媛県,NA,NA
2021,花壇用苗もの類_サルビア,愛媛県,NA,NA
1985,花壇用苗もの類_サルビア,高知県,NA,NA
1986,花壇用苗もの類_サルビア,高知県,NA,NA
1987,花壇用苗もの類_サルビア,高知県,NA,NA
1988,花壇用苗もの類_サルビア,高知県,NA,NA
1989,花壇用苗もの類_サルビア,高知県,NA,NA
1990,花壇用苗もの類_サルビア,高知県,1,1
1991,花壇用苗もの類_サルビア,高知県,3,8
1992,花壇用苗もの類_サルビア,高知県,3,8
1993,花壇用苗もの類_サルビア,高知県,NA,NA
1994,花壇用苗もの類_サルビア,高知県,NA,NA
1995,花壇用苗もの類_サルビア,高知県,NA,NA
1996,花壇用苗もの類_サルビア,高知県,NA,NA
1997,花壇用苗もの類_サルビア,高知県,NA,NA
1998,花壇用苗もの類_サルビア,高知県,6,20
1999,花壇用苗もの類_サルビア,高知県,8,27
2000,花壇用苗もの類_サルビア,高知県,6,24
2001,花壇用苗もの類_サルビア,高知県,18,60
2002,花壇用苗もの類_サルビア,高知県,23,74
2003,花壇用苗もの類_サルビア,高知県,17,38
2004,花壇用苗もの類_サルビア,高知県,16,37
2005,花壇用苗もの類_サルビア,高知県,NA,NA
2006,花壇用苗もの類_サルビア,高知県,NA,NA
2007,花壇用苗もの類_サルビア,高知県,NA,NA
2008,花壇用苗もの類_サルビア,高知県,NA,NA
2009,花壇用苗もの類_サルビア,高知県,NA,NA
2010,花壇用苗もの類_サルビア,高知県,NA,NA
2011,花壇用苗もの類_サルビア,高知県,NA,NA
2012,花壇用苗もの類_サルビア,高知県,NA,NA
2013,花壇用苗もの類_サルビア,高知県,NA,NA
2014,花壇用苗もの類_サルビア,高知県,NA,NA
2015,花壇用苗もの類_サルビア,高知県,NA,NA
2016,花壇用苗もの類_サルビア,高知県,NA,NA
2017,花壇用苗もの類_サルビア,高知県,NA,NA
2018,花壇用苗もの類_サルビア,高知県,NA,NA
2019,花壇用苗もの類_サルビア,高知県,NA,NA
2020,花壇用苗もの類_サルビア,高知県,NA,NA
2021,花壇用苗もの類_サルビア,高知県,NA,NA
1985,花壇用苗もの類_サルビア,福岡県,58,202
1986,花壇用苗もの類_サルビア,福岡県,NA,NA
1987,花壇用苗もの類_サルビア,福岡県,NA,NA
1988,花壇用苗もの類_サルビア,福岡県,60,244
1989,花壇用苗もの類_サルビア,福岡県,NA,NA
1990,花壇用苗もの類_サルビア,福岡県,73,394
1991,花壇用苗もの類_サルビア,福岡県,98,598
1992,花壇用苗もの類_サルビア,福岡県,133,745
1993,花壇用苗もの類_サルビア,福岡県,148,842
1994,花壇用苗もの類_サルビア,福岡県,164,977
1995,花壇用苗もの類_サルビア,福岡県,166,1020
1996,花壇用苗もの類_サルビア,福岡県,164,1160
1997,花壇用苗もの類_サルビア,福岡県,180,1250
1998,花壇用苗もの類_サルビア,福岡県,216,1430
1999,花壇用苗もの類_サルビア,福岡県,229,1450
2000,花壇用苗もの類_サルビア,福岡県,226,1420
2001,花壇用苗もの類_サルビア,福岡県,245,1550
2002,花壇用苗もの類_サルビア,福岡県,241,1500
2003,花壇用苗もの類_サルビア,福岡県,240,1550
2004,花壇用苗もの類_サルビア,福岡県,254,1550
2005,花壇用苗もの類_サルビア,福岡県,254,1540
2006,花壇用苗もの類_サルビア,福岡県,192,1310
2007,花壇用苗もの類_サルビア,福岡県,NA,NA
2008,花壇用苗もの類_サルビア,福岡県,NA,NA
2009,花壇用苗もの類_サルビア,福岡県,NA,NA
2010,花壇用苗もの類_サルビア,福岡県,NA,NA
2011,花壇用苗もの類_サルビア,福岡県,NA,NA
2012,花壇用苗もの類_サルビア,福岡県,NA,NA
2013,花壇用苗もの類_サルビア,福岡県,NA,NA
2014,花壇用苗もの類_サルビア,福岡県,NA,NA
2015,花壇用苗もの類_サルビア,福岡県,NA,NA
2016,花壇用苗もの類_サルビア,福岡県,NA,NA
2017,花壇用苗もの類_サルビア,福岡県,NA,NA
2018,花壇用苗もの類_サルビア,福岡県,NA,NA
2019,花壇用苗もの類_サルビア,福岡県,NA,NA
2020,花壇用苗もの類_サルビア,福岡県,NA,NA
2021,花壇用苗もの類_サルビア,福岡県,NA,NA
1985,花壇用苗もの類_サルビア,佐賀県,5,47
1986,花壇用苗もの類_サルビア,佐賀県,NA,NA
1987,花壇用苗もの類_サルビア,佐賀県,NA,NA
1988,花壇用苗もの類_サルビア,佐賀県,9,57
1989,花壇用苗もの類_サルビア,佐賀県,NA,NA
1990,花壇用苗もの類_サルビア,佐賀県,9,66
1991,花壇用苗もの類_サルビア,佐賀県,9,90
1992,花壇用苗もの類_サルビア,佐賀県,9,73
1993,花壇用苗もの類_サルビア,佐賀県,10,74
1994,花壇用苗もの類_サルビア,佐賀県,26,214
1995,花壇用苗もの類_サルビア,佐賀県,NA,NA
1996,花壇用苗もの類_サルビア,佐賀県,NA,NA
1997,花壇用苗もの類_サルビア,佐賀県,19,136
1998,花壇用苗もの類_サルビア,佐賀県,NA,NA
1999,花壇用苗もの類_サルビア,佐賀県,44,206
2000,花壇用苗もの類_サルビア,佐賀県,36,159
2001,花壇用苗もの類_サルビア,佐賀県,35,287
2002,花壇用苗もの類_サルビア,佐賀県,38,304
2003,花壇用苗もの類_サルビア,佐賀県,41,324
2004,花壇用苗もの類_サルビア,佐賀県,45,342
2005,花壇用苗もの類_サルビア,佐賀県,NA,NA
2006,花壇用苗もの類_サルビア,佐賀県,NA,NA
2007,花壇用苗もの類_サルビア,佐賀県,NA,NA
2008,花壇用苗もの類_サルビア,佐賀県,NA,NA
2009,花壇用苗もの類_サルビア,佐賀県,NA,NA
2010,花壇用苗もの類_サルビア,佐賀県,NA,NA
2011,花壇用苗もの類_サルビア,佐賀県,NA,NA
2012,花壇用苗もの類_サルビア,佐賀県,NA,NA
2013,花壇用苗もの類_サルビア,佐賀県,NA,NA
2014,花壇用苗もの類_サルビア,佐賀県,NA,NA
2015,花壇用苗もの類_サルビア,佐賀県,NA,NA
2016,花壇用苗もの類_サルビア,佐賀県,NA,NA
2017,花壇用苗もの類_サルビア,佐賀県,NA,NA
2018,花壇用苗もの類_サルビア,佐賀県,NA,NA
2019,花壇用苗もの類_サルビア,佐賀県,NA,NA
2020,花壇用苗もの類_サルビア,佐賀県,NA,NA
2021,花壇用苗もの類_サルビア,佐賀県,NA,NA
1985,花壇用苗もの類_サルビア,長崎県,14,109
1986,花壇用苗もの類_サルビア,長崎県,NA,NA
1987,花壇用苗もの類_サルビア,長崎県,NA,NA
1988,花壇用苗もの類_サルビア,長崎県,2,10
1989,花壇用苗もの類_サルビア,長崎県,NA,NA
1990,花壇用苗もの類_サルビア,長崎県,9,56
1991,花壇用苗もの類_サルビア,長崎県,8,48
1992,花壇用苗もの類_サルビア,長崎県,9,52
1993,花壇用苗もの類_サルビア,長崎県,8,51
1994,花壇用苗もの類_サルビア,長崎県,13,60
1995,花壇用苗もの類_サルビア,長崎県,NA,NA
1996,花壇用苗もの類_サルビア,長崎県,NA,NA
1997,花壇用苗もの類_サルビア,長崎県,29,210
1998,花壇用苗もの類_サルビア,長崎県,NA,NA
1999,花壇用苗もの類_サルビア,長崎県,38,217
2000,花壇用苗もの類_サルビア,長崎県,59,291
2001,花壇用苗もの類_サルビア,長崎県,71,324
2002,花壇用苗もの類_サルビア,長崎県,67,291
2003,花壇用苗もの類_サルビア,長崎県,96,626
2004,花壇用苗もの類_サルビア,長崎県,78,433
2005,花壇用苗もの類_サルビア,長崎県,73,438
2006,花壇用苗もの類_サルビア,長崎県,73,447
2007,花壇用苗もの類_サルビア,長崎県,NA,NA
2008,花壇用苗もの類_サルビア,長崎県,NA,NA
2009,花壇用苗もの類_サルビア,長崎県,NA,NA
2010,花壇用苗もの類_サルビア,長崎県,NA,NA
2011,花壇用苗もの類_サルビア,長崎県,NA,NA
2012,花壇用苗もの類_サルビア,長崎県,NA,NA
2013,花壇用苗もの類_サルビア,長崎県,NA,NA
2014,花壇用苗もの類_サルビア,長崎県,NA,NA
2015,花壇用苗もの類_サルビア,長崎県,NA,NA
2016,花壇用苗もの類_サルビア,長崎県,NA,NA
2017,花壇用苗もの類_サルビア,長崎県,NA,NA
2018,花壇用苗もの類_サルビア,長崎県,NA,NA
2019,花壇用苗もの類_サルビア,長崎県,NA,NA
2020,花壇用苗もの類_サルビア,長崎県,NA,NA
2021,花壇用苗もの類_サルビア,長崎県,NA,NA
1985,花壇用苗もの類_サルビア,熊本県,30,134
1986,花壇用苗もの類_サルビア,熊本県,NA,NA
1987,花壇用苗もの類_サルビア,熊本県,NA,NA
1988,花壇用苗もの類_サルビア,熊本県,25,75
1989,花壇用苗もの類_サルビア,熊本県,NA,NA
1990,花壇用苗もの類_サルビア,熊本県,16,34
1991,花壇用苗もの類_サルビア,熊本県,16,24
1992,花壇用苗もの類_サルビア,熊本県,24,63
1993,花壇用苗もの類_サルビア,熊本県,37,105
1994,花壇用苗もの類_サルビア,熊本県,35,112
1995,花壇用苗もの類_サルビア,熊本県,37,122
1996,花壇用苗もの類_サルビア,熊本県,53,168
1997,花壇用苗もの類_サルビア,熊本県,75,267
1998,花壇用苗もの類_サルビア,熊本県,60,238
1999,花壇用苗もの類_サルビア,熊本県,144,781
2000,花壇用苗もの類_サルビア,熊本県,146,692
2001,花壇用苗もの類_サルビア,熊本県,178,1100
2002,花壇用苗もの類_サルビア,熊本県,182,1050
2003,花壇用苗もの類_サルビア,熊本県,178,1000
2004,花壇用苗もの類_サルビア,熊本県,206,1190
2005,花壇用苗もの類_サルビア,熊本県,184,1090
2006,花壇用苗もの類_サルビア,熊本県,211,1220
2007,花壇用苗もの類_サルビア,熊本県,NA,NA
2008,花壇用苗もの類_サルビア,熊本県,NA,NA
2009,花壇用苗もの類_サルビア,熊本県,NA,NA
2010,花壇用苗もの類_サルビア,熊本県,NA,NA
2011,花壇用苗もの類_サルビア,熊本県,NA,NA
2012,花壇用苗もの類_サルビア,熊本県,NA,NA
2013,花壇用苗もの類_サルビア,熊本県,NA,NA
2014,花壇用苗もの類_サルビア,熊本県,NA,NA
2015,花壇用苗もの類_サルビア,熊本県,NA,NA
2016,花壇用苗もの類_サルビア,熊本県,NA,NA
2017,花壇用苗もの類_サルビア,熊本県,NA,NA
2018,花壇用苗もの類_サルビア,熊本県,NA,NA
2019,花壇用苗もの類_サルビア,熊本県,NA,NA
2020,花壇用苗もの類_サルビア,熊本県,NA,NA
2021,花壇用苗もの類_サルビア,熊本県,NA,NA
1985,花壇用苗もの類_サルビア,大分県,2,5
1986,花壇用苗もの類_サルビア,大分県,NA,NA
