年,品目,都道府県,作付面積（ha）,収穫量（t）,出荷量（t）
1985,い,岡山県,186,2150,1935
1986,い,岡山県,161,1820,1638
1987,い,岡山県,139,1530,1377
1988,い,岡山県,135,1460,1314
1989,い,岡山県,126,1380,1242
1990,い,岡山県,108,1040,936
1991,い,岡山県,57,491,441.9
1992,い,岡山県,47,503,452.7
1993,い,岡山県,47,503,452.7
1994,い,岡山県,NA,NA,NA
1995,い,岡山県,NA,NA,NA
1996,い,岡山県,NA,NA,NA
1997,い,岡山県,NA,NA,NA
1998,い,岡山県,NA,NA,NA
1999,い,岡山県,NA,NA,NA
2000,い,岡山県,NA,NA,NA
2001,い,岡山県,NA,NA,NA
2002,い,岡山県,NA,NA,NA
2003,い,岡山県,NA,NA,NA
2004,い,岡山県,NA,NA,NA
2005,い,岡山県,NA,NA,NA
2006,い,岡山県,NA,NA,NA
2007,い,岡山県,NA,NA,NA
2008,い,岡山県,NA,NA,NA
2009,い,岡山県,NA,NA,NA
2010,い,岡山県,NA,NA,NA
2011,い,岡山県,NA,NA,NA
2012,い,岡山県,NA,NA,NA
1985,い,高知県,261,2780,2502
1986,い,高知県,237,2460,2214
1987,い,高知県,237,2460,2214
1988,い,高知県,248,2380,2142
1989,い,高知県,247,2450,2205
1990,い,高知県,235,2240,2016
1991,い,高知県,127,1080,972
1992,い,高知県,132,1580,1422
1993,い,高知県,103,1090,981
1994,い,高知県,NA,NA,NA
1995,い,高知県,NA,NA,NA
1996,い,高知県,NA,NA,NA
1997,い,高知県,NA,NA,NA
1998,い,高知県,NA,NA,NA
1999,い,高知県,NA,NA,NA
2000,い,高知県,NA,NA,NA
2001,い,高知県,NA,NA,NA
2002,い,高知県,NA,NA,NA
2003,い,高知県,NA,NA,NA
2004,い,高知県,NA,NA,NA
2005,い,高知県,NA,NA,NA
2006,い,高知県,NA,NA,NA
2007,い,高知県,NA,NA,NA
2008,い,高知県,NA,NA,NA
2009,い,高知県,NA,NA,NA
2010,い,高知県,NA,NA,NA
2011,い,高知県,NA,NA,NA
2012,い,高知県,NA,NA,NA
1985,い,福岡県,950,9580,8622
1986,い,福岡県,909,10300,9270
1987,い,福岡県,991,10800,9720
1988,い,福岡県,1140,11200,10080
1989,い,福岡県,1160,12100,10890
1990,い,福岡県,1170,12600,11340
1991,い,福岡県,814,7020,6318
1992,い,福岡県,742,8390,7551
1993,い,福岡県,684,6870,6183
1994,い,福岡県,570,5810,5229
1995,い,福岡県,556,6740,6066
1996,い,福岡県,452,5080,4572
1997,い,福岡県,410,4700,4230
1998,い,福岡県,274,2880,2592
1999,い,福岡県,191,2240,2016
2000,い,福岡県,134,1450,1305
2001,い,福岡県,88,1030,927
2002,い,福岡県,89,1020,918
2003,い,福岡県,89,882,793.8
2004,い,福岡県,77,872,784.8
2005,い,福岡県,65,893,803.7
2006,い,福岡県,46,549,494.1
2007,い,福岡県,31,383,344.7
2008,い,福岡県,26,331,297.9
2009,い,福岡県,23,311,279.9
2010,い,福岡県,17,198,178.2
2011,い,福岡県,13,153,137.7
2012,い,福岡県,14,176,158.4
2013,い,福岡県,17,223,200.7
2014,い,福岡県,14,189,170.1
2015,い,福岡県,14,165,148.5
2016,い,福岡県,12,142,127.8
2017,い,福岡県,10,123,110.7
2018,い,福岡県,7,83,74.7
2019,い,福岡県,5,62,55.8
2020,い,福岡県,4,44,39.6
2021,い,福岡県,3,33,29.7
1985,い,熊本県,5550,61400,55260
1986,い,熊本県,5650,61800,55620
1987,い,熊本県,5950,63900,57510
1988,い,熊本県,6390,65100,58590
1989,い,熊本県,6630,75800,68220
1990,い,熊本県,6580,70300,63270
1991,い,熊本県,5740,53900,48510
1992,い,熊本県,5580,64800,58320
1993,い,熊本県,5360,55500,49950
1994,い,熊本県,5140,56700,51030
1995,い,熊本県,5050,57800,52020
1996,い,熊本県,4760,53300,47970
1997,い,熊本県,4610,53000,47700
1998,い,熊本県,4150,44100,39690
1999,い,熊本県,3300,34100,30690
2000,い,熊本県,2590,27900,25110
2001,い,熊本県,1780,20300,18270
2002,い,熊本県,1720,19700,17730
2003,い,熊本県,1780,19600,17640
2004,い,熊本県,1720,19800,17820
2005,い,熊本県,1630,20900,18810
2006,い,熊本県,1330,14800,13320
2007,い,熊本県,1080,14800,13320
2008,い,熊本県,1050,13400,12060
2009,い,熊本県,980,14000,12600
2010,い,熊本県,882,11300,10170
2011,い,熊本県,825,9490,8541
2012,い,熊本県,840,10400,9360
2013,い,熊本県,801,11600,10440
2014,い,熊本県,725,9930,8937
2015,い,熊本県,687,7630,6867
2016,い,熊本県,631,8200,7380
2017,い,熊本県,568,8410,7569
2018,い,熊本県,534,7420,6678
2019,い,熊本県,471,7070,6363
2020,い,熊本県,420,6260,5634
2021,い,熊本県,448,6360,5724
1985,いんげん,北海道,20800,41000,36900
1986,いんげん,北海道,17900,37000,33300
1987,いんげん,北海道,18000,35000,31500
1988,いんげん,北海道,17500,32500,29250
1989,いんげん,北海道,21300,33500,30150
1990,いんげん,北海道,20300,30000,27000
1991,いんげん,北海道,17800,41300,37170
1992,いんげん,北海道,15400,31500,28350
1993,いんげん,北海道,15000,24300,21870
1994,いんげん,北海道,17400,16600,14940
1995,いんげん,北海道,17600,42300,38070
1996,いんげん,北海道,17000,30800,27720
1997,いんげん,北海道,14500,30800,27720
1998,いんげん,北海道,11500,23200,20880
1999,いんげん,北海道,10700,19700,17730
2000,いんげん,北海道,11300,13700,12330
2001,いんげん,北海道,11800,22300,20070
2002,いんげん,北海道,13300,32600,29340
2003,いんげん,北海道,11500,21700,19530
2004,いんげん,北海道,10600,26100,23490
2005,いんげん,北海道,10000,24600,22140
2006,いんげん,北海道,8880,18000,16200
2007,いんげん,北海道,9350,20800,18720
2008,いんげん,北海道,9950,23400,21060
2009,いんげん,北海道,10200,14900,13410
2010,いんげん,北海道,10800,20700,18630
2011,いんげん,北海道,9330,9240,8316
2012,いんげん,北海道,8870,17200,15480
2013,いんげん,北海道,8380,14600,13140
2014,いんげん,北海道,8540,19700,17730
2015,いんげん,北海道,9550,24800,22320
2016,いんげん,北海道,7940,5480,4932
2017,いんげん,北海道,6630,16400,14760
2018,いんげん,北海道,6790,9230,8307
2019,いんげん,北海道,6340,12700,11430
2020,いんげん,北海道,6880,4680,4212
2021,いんげん,北海道,6660,6860,6174
1985,いんげん,青森県,73,72,64.8
1986,いんげん,青森県,71,NA,NA
1987,いんげん,青森県,74,NA,NA
1988,いんげん,青森県,82,69,62.1
1989,いんげん,青森県,86,NA,NA
1990,いんげん,青森県,82,NA,NA
1991,いんげん,青森県,80,77,69.3
1992,いんげん,青森県,82,NA,NA
1993,いんげん,青森県,81,NA,NA
1994,いんげん,青森県,75,NA,NA
1995,いんげん,青森県,70,67,60.3
1996,いんげん,青森県,68,NA,NA
1997,いんげん,青森県,65,NA,NA
1998,いんげん,青森県,61,56,50.4
1999,いんげん,青森県,53,NA,NA
2000,いんげん,青森県,46,NA,NA
2001,いんげん,青森県,46,42,37.8
2002,いんげん,青森県,44,NA,NA
2003,いんげん,青森県,40,26,23.4
2004,いんげん,青森県,40,NA,NA
2005,いんげん,青森県,40,NA,NA
2006,いんげん,青森県,36,32,28.8
2007,いんげん,青森県,31,NA,NA
2008,いんげん,青森県,31,NA,NA
2009,いんげん,青森県,31,29,26.1
2010,いんげん,青森県,20,NA,NA
2011,いんげん,青森県,20,NA,NA
2012,いんげん,青森県,17,13,11.7
2013,いんげん,青森県,13,NA,NA
2014,いんげん,青森県,10,NA,NA
2015,いんげん,青森県,6,6,5.4
2016,いんげん,青森県,4,NA,NA
2017,いんげん,青森県,NA,NA,NA
2018,いんげん,青森県,4,4,NA
2019,いんげん,青森県,NA,NA,NA
2020,いんげん,青森県,NA,NA,NA
2021,いんげん,青森県,4,NA,NA
1985,いんげん,岩手県,84,79,71.1
1986,いんげん,岩手県,87,NA,NA
1987,いんげん,岩手県,86,NA,NA
1988,いんげん,岩手県,96,87,78.3
1989,いんげん,岩手県,93,NA,NA
1990,いんげん,岩手県,95,NA,NA
1991,いんげん,岩手県,82,74,66.6
1992,いんげん,岩手県,78,NA,NA
1993,いんげん,岩手県,76,NA,NA
1994,いんげん,岩手県,75,NA,NA
1995,いんげん,岩手県,69,66,59.4
1996,いんげん,岩手県,62,NA,NA
1997,いんげん,岩手県,59,NA,NA
1998,いんげん,岩手県,56,41,36.9
1999,いんげん,岩手県,40,NA,NA
2000,いんげん,岩手県,37,NA,NA
2001,いんげん,岩手県,36,34,30.6
2002,いんげん,岩手県,36,NA,NA
2003,いんげん,岩手県,37,28,25.2
2004,いんげん,岩手県,37,NA,NA
2005,いんげん,岩手県,32,NA,NA
2006,いんげん,岩手県,35,32,28.8
2007,いんげん,岩手県,36,NA,NA
2008,いんげん,岩手県,40,NA,NA
2009,いんげん,岩手県,38,30,27
2010,いんげん,岩手県,34,NA,NA
2011,いんげん,岩手県,32,NA,NA
2012,いんげん,岩手県,29,23,20.7
2013,いんげん,岩手県,26,NA,NA
2014,いんげん,岩手県,25,NA,NA
2015,いんげん,岩手県,23,22,19.8
2016,いんげん,岩手県,20,NA,NA
2017,いんげん,岩手県,NA,NA,NA
2018,いんげん,岩手県,18,16,14.4
2019,いんげん,岩手県,NA,NA,NA
2020,いんげん,岩手県,NA,NA,NA
2021,いんげん,岩手県,13,NA,NA
1985,いんげん,秋田県,110,116,104.4
1986,いんげん,秋田県,107,NA,NA
1987,いんげん,秋田県,94,NA,NA
1988,いんげん,秋田県,92,93,83.7
1989,いんげん,秋田県,95,NA,NA
1990,いんげん,秋田県,87,NA,NA
1991,いんげん,秋田県,87,83,74.7
1992,いんげん,秋田県,74,NA,NA
1993,いんげん,秋田県,71,NA,NA
1994,いんげん,秋田県,71,NA,NA
1995,いんげん,秋田県,69,69,62.1
1996,いんげん,秋田県,68,NA,NA
1997,いんげん,秋田県,68,NA,NA
1998,いんげん,秋田県,68,62,55.8
1999,いんげん,秋田県,65,NA,NA
2000,いんげん,秋田県,63,NA,NA
2001,いんげん,秋田県,60,60,54
2002,いんげん,秋田県,61,NA,NA
2003,いんげん,秋田県,42,41,36.9
2004,いんげん,秋田県,42,NA,NA
2005,いんげん,秋田県,42,NA,NA
2006,いんげん,秋田県,41,39,35.1
2007,いんげん,秋田県,38,NA,NA
2008,いんげん,秋田県,38,NA,NA
2009,いんげん,秋田県,35,32,28.8
2010,いんげん,秋田県,32,NA,NA
2011,いんげん,秋田県,32,NA,NA
2012,いんげん,秋田県,32,31,27.9
2013,いんげん,秋田県,31,NA,NA
2014,いんげん,秋田県,30,NA,NA
2015,いんげん,秋田県,29,28,25.2
2016,いんげん,秋田県,21,NA,NA
2017,いんげん,秋田県,NA,NA,NA
2018,いんげん,秋田県,18,15,13.5
2019,いんげん,秋田県,NA,NA,NA
2020,いんげん,秋田県,NA,NA,NA
2021,いんげん,秋田県,16,NA,NA
1985,いんげん,山形県,108,95,85.5
1986,いんげん,山形県,89,NA,NA
1987,いんげん,山形県,87,NA,NA
1988,いんげん,山形県,82,74,66.6
1989,いんげん,山形県,70,NA,NA
1990,いんげん,山形県,67,NA,NA
1991,いんげん,山形県,52,46,41.4
1992,いんげん,山形県,45,NA,NA
1993,いんげん,山形県,44,NA,NA
1994,いんげん,山形県,44,NA,NA
1995,いんげん,山形県,43,36,32.4
1996,いんげん,山形県,40,NA,NA
1997,いんげん,山形県,34,NA,NA
1998,いんげん,山形県,34,31,27.9
1999,いんげん,山形県,30,NA,NA
2000,いんげん,山形県,29,NA,NA
2001,いんげん,山形県,23,24,21.6
2002,いんげん,山形県,21,NA,NA
2003,いんげん,山形県,21,20,18
2004,いんげん,山形県,20,NA,NA
2005,いんげん,山形県,18,NA,NA
2006,いんげん,山形県,18,17,15.3
2007,いんげん,山形県,16,NA,NA
2008,いんげん,山形県,19,NA,NA
2009,いんげん,山形県,20,19,17.1
2010,いんげん,山形県,17,NA,NA
2011,いんげん,山形県,16,NA,NA
2012,いんげん,山形県,16,11,9.9
2013,いんげん,山形県,15,NA,NA
2014,いんげん,山形県,15,NA,NA
2015,いんげん,山形県,15,13,11.7
2016,いんげん,山形県,14,NA,NA
2017,いんげん,山形県,NA,NA,NA
2018,いんげん,山形県,9,7,6.3
2019,いんげん,山形県,NA,NA,NA
2020,いんげん,山形県,NA,NA,NA
2021,いんげん,山形県,9,NA,NA
1985,いんげん,福島県,44,59,53.1
1986,いんげん,福島県,41,NA,NA
1987,いんげん,福島県,48,NA,NA
1988,いんげん,福島県,51,78,70.2
1989,いんげん,福島県,51,NA,NA
1990,いんげん,福島県,53,NA,NA
1991,いんげん,福島県,65,85,76.5
1992,いんげん,福島県,62,NA,NA
1993,いんげん,福島県,54,NA,NA
1994,いんげん,福島県,50,NA,NA
1995,いんげん,福島県,51,73,65.7
1996,いんげん,福島県,51,NA,NA
1997,いんげん,福島県,48,NA,NA
1998,いんげん,福島県,50,49,44.1
1999,いんげん,福島県,46,NA,NA
2000,いんげん,福島県,46,NA,NA
2001,いんげん,福島県,49,78,70.2
2002,いんげん,福島県,52,NA,NA
2003,いんげん,福島県,64,109,98.1
2004,いんげん,福島県,68,NA,NA
2005,いんげん,福島県,68,NA,NA
2006,いんげん,福島県,68,88,79.2
2007,いんげん,福島県,71,NA,NA
2008,いんげん,福島県,70,NA,NA
2009,いんげん,福島県,62,122,109.8
2010,いんげん,福島県,56,NA,NA
2011,いんげん,福島県,54,NA,NA
2012,いんげん,福島県,49,62,55.8
2013,いんげん,福島県,41,NA,NA
2014,いんげん,福島県,38,NA,NA
2015,いんげん,福島県,37,59,53.1
2016,いんげん,福島県,22,NA,NA
2017,いんげん,福島県,NA,NA,NA
2018,いんげん,福島県,18,27,24.3
2019,いんげん,福島県,NA,NA,NA
2020,いんげん,福島県,NA,NA,NA
2021,いんげん,福島県,15,NA,NA
1985,いんげん,茨城県,261,222,199.8
1986,いんげん,茨城県,252,NA,NA
1987,いんげん,茨城県,245,NA,NA
1988,いんげん,茨城県,235,183,164.7
1989,いんげん,茨城県,225,NA,NA
1990,いんげん,茨城県,190,NA,NA
1991,いんげん,茨城県,193,156,140.4
1992,いんげん,茨城県,170,NA,NA
1993,いんげん,茨城県,151,NA,NA
1994,いんげん,茨城県,142,NA,NA
1995,いんげん,茨城県,140,123,110.7
1996,いんげん,茨城県,145,NA,NA
1997,いんげん,茨城県,111,NA,NA
1998,いんげん,茨城県,108,85,76.5
1999,いんげん,茨城県,108,NA,NA
2000,いんげん,茨城県,102,NA,NA
2001,いんげん,茨城県,95,77,69.3
2002,いんげん,茨城県,86,NA,NA
2003,いんげん,茨城県,76,65,58.5
2004,いんげん,茨城県,70,NA,NA
2005,いんげん,茨城県,65,NA,NA
2006,いんげん,茨城県,57,45,40.5
2007,いんげん,茨城県,58,NA,NA
2008,いんげん,茨城県,53,NA,NA
2009,いんげん,茨城県,53,48,43.2
2010,いんげん,茨城県,53,NA,NA
2011,いんげん,茨城県,49,NA,NA
2012,いんげん,茨城県,49,40,36
2013,いんげん,茨城県,47,NA,NA
2014,いんげん,茨城県,44,NA,NA
2015,いんげん,茨城県,44,49,44.1
2016,いんげん,茨城県,42,NA,NA
2017,いんげん,茨城県,NA,NA,NA
2018,いんげん,茨城県,39,40,36
2019,いんげん,茨城県,NA,NA,NA
2020,いんげん,茨城県,NA,NA,NA
2021,いんげん,茨城県,36,NA,NA
1985,いんげん,栃木県,86,89,80.1
1986,いんげん,栃木県,77,NA,NA
1987,いんげん,栃木県,74,NA,NA
1988,いんげん,栃木県,78,67,60.3
1989,いんげん,栃木県,76,NA,NA
1990,いんげん,栃木県,76,NA,NA
1991,いんげん,栃木県,73,60,54
1992,いんげん,栃木県,69,NA,NA
1993,いんげん,栃木県,63,NA,NA
1994,いんげん,栃木県,59,NA,NA
1995,いんげん,栃木県,50,45,40.5
1996,いんげん,栃木県,42,NA,NA
1997,いんげん,栃木県,30,NA,NA
1998,いんげん,栃木県,28,13,11.7
1999,いんげん,栃木県,24,NA,NA
2000,いんげん,栃木県,24,NA,NA
2001,いんげん,栃木県,23,19,17.1
2002,いんげん,栃木県,22,NA,NA
2003,いんげん,栃木県,15,13,11.7
2004,いんげん,栃木県,7,NA,NA
2005,いんげん,栃木県,6,NA,NA
2006,いんげん,栃木県,6,5,4.5
2007,いんげん,栃木県,5,NA,NA
2008,いんげん,栃木県,5,NA,NA
2009,いんげん,栃木県,5,5,4.5
2010,いんげん,栃木県,7,NA,NA
2011,いんげん,栃木県,8,NA,NA
2012,いんげん,栃木県,8,10,9
2013,いんげん,栃木県,8,NA,NA
2014,いんげん,栃木県,8,NA,NA
2015,いんげん,栃木県,6,5,4.5
2016,いんげん,栃木県,5,NA,NA
2017,いんげん,栃木県,NA,NA,NA
2018,いんげん,栃木県,5,4,NA
2019,いんげん,栃木県,NA,NA,NA
2020,いんげん,栃木県,NA,NA,NA
2021,いんげん,栃木県,3,NA,NA
1985,いんげん,群馬県,284,287,258.3
1986,いんげん,群馬県,289,NA,NA
1987,いんげん,群馬県,282,NA,NA
1988,いんげん,群馬県,285,222,199.8
1989,いんげん,群馬県,288,NA,NA
1990,いんげん,群馬県,299,NA,NA
1991,いんげん,群馬県,338,392,352.8
1992,いんげん,群馬県,335,NA,NA
1993,いんげん,群馬県,351,NA,NA
1994,いんげん,群馬県,349,NA,NA
1995,いんげん,群馬県,346,422,379.8
1996,いんげん,群馬県,346,NA,NA
1997,いんげん,群馬県,346,NA,NA
1998,いんげん,群馬県,341,324,291.6
1999,いんげん,群馬県,338,NA,NA
2000,いんげん,群馬県,329,NA,NA
2001,いんげん,群馬県,325,341,306.9
2002,いんげん,群馬県,265,NA,NA
2003,いんげん,群馬県,236,264,237.6
2004,いんげん,群馬県,196,NA,NA
2005,いんげん,群馬県,181,NA,NA
2006,いんげん,群馬県,180,193,173.7
2007,いんげん,群馬県,165,NA,NA
2008,いんげん,群馬県,164,NA,NA
2009,いんげん,群馬県,163,240,216
2010,いんげん,群馬県,163,NA,NA
2011,いんげん,群馬県,161,NA,NA
2012,いんげん,群馬県,148,181,162.9
2013,いんげん,群馬県,147,NA,NA
2014,いんげん,群馬県,142,NA,NA
2015,いんげん,群馬県,138,175,157.5
2016,いんげん,群馬県,122,NA,NA
2017,いんげん,群馬県,NA,NA,NA
2018,いんげん,群馬県,104,124,111.6
2019,いんげん,群馬県,NA,NA,NA
2020,いんげん,群馬県,NA,NA,NA
2021,いんげん,群馬県,98,NA,NA
1985,いんげん,新潟県,223,187,168.3
1986,いんげん,新潟県,210,NA,NA
1987,いんげん,新潟県,206,NA,NA
1988,いんげん,新潟県,177,163,146.7
1989,いんげん,新潟県,172,NA,NA
1990,いんげん,新潟県,169,NA,NA
1991,いんげん,新潟県,158,133,119.7
1992,いんげん,新潟県,149,NA,NA
1993,いんげん,新潟県,122,NA,NA
1994,いんげん,新潟県,108,NA,NA
1995,いんげん,新潟県,103,89,80.1
1996,いんげん,新潟県,97,NA,NA
1997,いんげん,新潟県,89,NA,NA
1998,いんげん,新潟県,88,68,61.2
1999,いんげん,新潟県,89,NA,NA
2000,いんげん,新潟県,86,NA,NA
2001,いんげん,新潟県,88,71,63.9
2002,いんげん,新潟県,92,NA,NA
2003,いんげん,新潟県,73,60,54
2004,いんげん,新潟県,60,NA,NA
2005,いんげん,新潟県,56,NA,NA
2006,いんげん,新潟県,56,46,41.4
2007,いんげん,新潟県,51,NA,NA
2008,いんげん,新潟県,51,NA,NA
2009,いんげん,新潟県,51,65,58.5
2010,いんげん,新潟県,51,NA,NA
2011,いんげん,新潟県,49,NA,NA
2012,いんげん,新潟県,45,36,32.4
2013,いんげん,新潟県,42,NA,NA
2014,いんげん,新潟県,42,NA,NA
2015,いんげん,新潟県,41,34,30.6
2016,いんげん,新潟県,39,NA,NA
2017,いんげん,新潟県,NA,NA,NA
2018,いんげん,新潟県,38,27,24.3
2019,いんげん,新潟県,NA,NA,NA
2020,いんげん,新潟県,NA,NA,NA
2021,いんげん,新潟県,20,NA,NA
1985,いんげん,富山県,54,55,49.5
1986,いんげん,富山県,62,NA,NA
1987,いんげん,富山県,56,NA,NA
1988,いんげん,富山県,50,43,38.7
1989,いんげん,富山県,43,NA,NA
1990,いんげん,富山県,41,NA,NA
1991,いんげん,富山県,38,29,26.1
1992,いんげん,富山県,35,NA,NA
1993,いんげん,富山県,34,NA,NA
1994,いんげん,富山県,31,NA,NA
1995,いんげん,富山県,30,23,20.7
1996,いんげん,富山県,31,NA,NA
1997,いんげん,富山県,30,NA,NA
1998,いんげん,富山県,30,23,20.7
1999,いんげん,富山県,22,NA,NA
2000,いんげん,富山県,24,NA,NA
2001,いんげん,富山県,24,18,16.2
2002,いんげん,富山県,23,NA,NA
2003,いんげん,富山県,18,13,11.7
2004,いんげん,富山県,17,NA,NA
2005,いんげん,富山県,17,NA,NA
2006,いんげん,富山県,13,11,9.9
2007,いんげん,富山県,8,NA,NA
2008,いんげん,富山県,8,NA,NA
2009,いんげん,富山県,8,6,5.4
2010,いんげん,富山県,8,NA,NA
2011,いんげん,富山県,8,NA,NA
2012,いんげん,富山県,8,6,5.4
2013,いんげん,富山県,8,NA,NA
2014,いんげん,富山県,8,NA,NA
2015,いんげん,富山県,8,6,5.4
2016,いんげん,富山県,8,NA,NA
2017,いんげん,富山県,NA,NA,NA
2018,いんげん,富山県,7,5,4.5
2019,いんげん,富山県,NA,NA,NA
2020,いんげん,富山県,NA,NA,NA
2021,いんげん,富山県,7,NA,NA
1985,いんげん,石川県,139,140,126
1986,いんげん,石川県,142,NA,NA
1987,いんげん,石川県,145,NA,NA
1988,いんげん,石川県,145,152,136.8
1989,いんげん,石川県,142,NA,NA
1990,いんげん,石川県,133,NA,NA
1991,いんげん,石川県,132,125,112.5
1992,いんげん,石川県,127,NA,NA
1993,いんげん,石川県,124,NA,NA
1994,いんげん,石川県,119,NA,NA
1995,いんげん,石川県,123,105,94.5
1996,いんげん,石川県,102,NA,NA
1997,いんげん,石川県,102,NA,NA
1998,いんげん,石川県,82,79,71.1
1999,いんげん,石川県,71,NA,NA
2000,いんげん,石川県,63,NA,NA
2001,いんげん,石川県,57,61,54.9
2002,いんげん,石川県,53,NA,NA
2003,いんげん,石川県,52,51,45.9
2004,いんげん,石川県,52,NA,NA
2005,いんげん,石川県,50,NA,NA
2006,いんげん,石川県,50,49,44.1
2007,いんげん,石川県,50,NA,NA
2008,いんげん,石川県,48,NA,NA
2009,いんげん,石川県,44,40,36
2010,いんげん,石川県,37,NA,NA
2011,いんげん,石川県,31,NA,NA
2012,いんげん,石川県,29,26,23.4
2013,いんげん,石川県,29,NA,NA
2014,いんげん,石川県,28,NA,NA
2015,いんげん,石川県,28,27,24.3
2016,いんげん,石川県,28,NA,NA
2017,いんげん,石川県,NA,NA,NA
2018,いんげん,石川県,26,24,21.6
2019,いんげん,石川県,NA,NA,NA
2020,いんげん,石川県,NA,NA,NA
2021,いんげん,石川県,25,NA,NA
1985,いんげん,福井県,49,46,41.4
1986,いんげん,福井県,40,NA,NA
1987,いんげん,福井県,42,NA,NA
1988,いんげん,福井県,42,41,36.9
1989,いんげん,福井県,40,NA,NA
1990,いんげん,福井県,36,NA,NA
1991,いんげん,福井県,38,34,30.6
1992,いんげん,福井県,38,NA,NA
1993,いんげん,福井県,34,NA,NA
1994,いんげん,福井県,35,NA,NA
1995,いんげん,福井県,30,23,20.7
1996,いんげん,福井県,33,NA,NA
1997,いんげん,福井県,29,NA,NA
1998,いんげん,福井県,30,15,13.5
1999,いんげん,福井県,28,NA,NA
2000,いんげん,福井県,28,NA,NA
2001,いんげん,福井県,28,27,24.3
2002,いんげん,福井県,20,NA,NA
2003,いんげん,福井県,20,16,14.4
2004,いんげん,福井県,16,NA,NA
2005,いんげん,福井県,16,NA,NA
2006,いんげん,福井県,11,10,9
2007,いんげん,福井県,11,NA,NA
2008,いんげん,福井県,12,NA,NA
2009,いんげん,福井県,12,10,9
2010,いんげん,福井県,11,NA,NA
2011,いんげん,福井県,11,NA,NA
2012,いんげん,福井県,9,8,7.2
2013,いんげん,福井県,9,NA,NA
2014,いんげん,福井県,9,NA,NA
2015,いんげん,福井県,9,8,7.2
2016,いんげん,福井県,9,NA,NA
2017,いんげん,福井県,NA,NA,NA
2018,いんげん,福井県,9,5,4.5
2019,いんげん,福井県,NA,NA,NA
2020,いんげん,福井県,NA,NA,NA
2021,いんげん,福井県,9,NA,NA
1985,いんげん,山梨県,54,56,50.4
1986,いんげん,山梨県,59,NA,NA
1987,いんげん,山梨県,54,NA,NA
1988,いんげん,山梨県,53,47,42.3
1989,いんげん,山梨県,58,NA,NA
1990,いんげん,山梨県,62,NA,NA
1991,いんげん,山梨県,66,60,54
1992,いんげん,山梨県,64,NA,NA
1993,いんげん,山梨県,62,NA,NA
1994,いんげん,山梨県,75,NA,NA
1995,いんげん,山梨県,76,65,58.5
1996,いんげん,山梨県,79,NA,NA
1997,いんげん,山梨県,93,NA,NA
1998,いんげん,山梨県,105,87,78.3
1999,いんげん,山梨県,112,NA,NA
2000,いんげん,山梨県,113,NA,NA
2001,いんげん,山梨県,112,108,97.2
2002,いんげん,山梨県,111,NA,NA
2003,いんげん,山梨県,110,100,90
2004,いんげん,山梨県,109,NA,NA
2005,いんげん,山梨県,106,NA,NA
2006,いんげん,山梨県,97,84,75.6
2007,いんげん,山梨県,90,NA,NA
2008,いんげん,山梨県,87,NA,NA
2009,いんげん,山梨県,84,71,63.9
2010,いんげん,山梨県,78,NA,NA
2011,いんげん,山梨県,72,NA,NA
2012,いんげん,山梨県,69,52,46.8
2013,いんげん,山梨県,65,NA,NA
2014,いんげん,山梨県,62,NA,NA
2015,いんげん,山梨県,59,47,42.3
2016,いんげん,山梨県,57,NA,NA
2017,いんげん,山梨県,NA,NA,NA
2018,いんげん,山梨県,47,43,38.7
2019,いんげん,山梨県,NA,NA,NA
2020,いんげん,山梨県,NA,NA,NA
2021,いんげん,山梨県,45,NA,NA
1985,いんげん,長野県,455,455,409.5
1986,いんげん,長野県,469,NA,NA
1987,いんげん,長野県,503,NA,NA
1988,いんげん,長野県,490,466,419.4
1989,いんげん,長野県,507,NA,NA
1990,いんげん,長野県,499,NA,NA
1991,いんげん,長野県,490,475,427.5
1992,いんげん,長野県,495,NA,NA
1993,いんげん,長野県,476,NA,NA
1994,いんげん,長野県,470,NA,NA
1995,いんげん,長野県,458,463,416.7
1996,いんげん,長野県,436,NA,NA
1997,いんげん,長野県,423,NA,NA
1998,いんげん,長野県,412,387,348.3
1999,いんげん,長野県,404,NA,NA
2000,いんげん,長野県,389,NA,NA
2001,いんげん,長野県,386,390,351
2002,いんげん,長野県,375,NA,NA
2003,いんげん,長野県,363,360,324
2004,いんげん,長野県,364,NA,NA
2005,いんげん,長野県,349,NA,NA
2006,いんげん,長野県,348,341,306.9
2007,いんげん,長野県,309,NA,NA
2008,いんげん,長野県,298,NA,NA
2009,いんげん,長野県,277,255,229.5
2010,いんげん,長野県,262,NA,NA
2011,いんげん,長野県,254,NA,NA
2012,いんげん,長野県,241,243,218.7
2013,いんげん,長野県,234,NA,NA
2014,いんげん,長野県,227,NA,NA
2015,いんげん,長野県,219,210,189
2016,いんげん,長野県,213,NA,NA
2017,いんげん,長野県,NA,NA,NA
2018,いんげん,長野県,195,177,159.3
2019,いんげん,長野県,NA,NA,NA
2020,いんげん,長野県,NA,NA,NA
2021,いんげん,長野県,151,NA,NA
1985,いんげん,三重県,23,24,21.6
1986,いんげん,三重県,21,NA,NA
1987,いんげん,三重県,16,NA,NA
1988,いんげん,三重県,20,20,18
1989,いんげん,三重県,18,NA,NA
1990,いんげん,三重県,17,NA,NA
1991,いんげん,三重県,17,17,15.3
1992,いんげん,三重県,15,NA,NA
1993,いんげん,三重県,14,NA,NA
