年,品目,都道府県,栽培面積（ha）,生葉収穫量（t）,荒茶生産量（t）
1998,茶,熊本県,1790,9590,1910
1999,茶,熊本県,1780,9830,1960
2000,茶,熊本県,1760,9600,1940
2001,茶,熊本県,1740,9320,1880
2002,茶,熊本県,1730,8860,1770
2003,茶,熊本県,1690,9010,1800
2004,茶,熊本県,1670,9200,1860
2005,茶,熊本県,1660,9340,1910
2006,茶,熊本県,1660,8670,1760
2007,茶,熊本県,1640,8560,1740
2008,茶,熊本県,1630,8290,1680
2009,茶,熊本県,1620,7380,1500
2010,茶,熊本県,1610,6830,1380
2011,茶,熊本県,1600,7020,1420
2012,茶,熊本県,1580,7340,1490
2013,茶,熊本県,1570,6390,1300
2014,茶,熊本県,1500,6350,1300
2015,茶,熊本県,1420,5590,1140
2016,茶,熊本県,1350,6250,1280
2017,茶,熊本県,1300,6270,1290
2018,茶,熊本県,1260,6120,1260
2019,茶,熊本県,1220,6150,1270
2020,茶,熊本県,1170,5400,1120
2021,茶,熊本県,1130,6190,1280
1985,茶,大分県,961,3750,782
1986,茶,大分県,961,3740,782
1987,茶,大分県,956,3550,724
1988,茶,大分県,930,3390,697
1989,茶,大分県,928,3140,630
1990,茶,大分県,910,3070,604
1991,茶,大分県,872,2860,565
1992,茶,大分県,851,2990,604
1993,茶,大分県,846,2830,568
1994,茶,大分県,831,NA,NA
1995,茶,大分県,NA,NA,NA
1996,茶,大分県,802,2580,529
1997,茶,大分県,751,NA,NA
1998,茶,大分県,660,NA,NA
1999,茶,大分県,647,2370,481
2000,茶,大分県,641,NA,NA
2001,茶,大分県,639,NA,NA
2002,茶,大分県,632,2010,404
2003,茶,大分県,622,1980,401
2004,茶,大分県,600,1690,333
2005,茶,大分県,345,NA,NA
2006,茶,大分県,348,NA,NA
2007,茶,大分県,371,NA,NA
2008,茶,大分県,388,NA,NA
2009,茶,大分県,406,1710,348
2010,茶,大分県,426,NA,NA
2011,茶,大分県,431,NA,NA
2012,茶,大分県,440,NA,NA
2013,茶,大分県,434,NA,NA
2014,茶,大分県,449,1990,410
2015,茶,大分県,451,NA,NA
2016,茶,大分県,446,NA,NA
2017,茶,大分県,NA,NA,NA
2018,茶,大分県,NA,NA,NA
2019,茶,大分県,NA,NA,NA
2020,茶,大分県,471,2590,549
2021,茶,大分県,NA,NA,NA
1985,茶,宮崎県,1740,11800,2410
1986,茶,宮崎県,1710,13300,2720
1987,茶,宮崎県,1670,13800,2810
1988,茶,宮崎県,1630,13700,2780
1989,茶,宮崎県,1600,14700,2970
1990,茶,宮崎県,1530,13800,2760
1991,茶,宮崎県,1500,13700,2750
1992,茶,宮崎県,1480,13700,2750
1993,茶,宮崎県,1460,13500,2730
1994,茶,宮崎県,1440,12400,2550
1995,茶,宮崎県,1420,13400,2720
1996,茶,宮崎県,1380,14200,2890
1997,茶,宮崎県,1360,15500,3120
1998,茶,宮崎県,1360,13600,2730
1999,茶,宮崎県,1360,15200,3060
2000,茶,宮崎県,1380,15600,3170
2001,茶,宮崎県,1370,15800,3230
2002,茶,宮崎県,1410,14700,2970
2003,茶,宮崎県,1430,15800,3170
2004,茶,宮崎県,1480,18600,3780
2005,茶,宮崎県,1550,17800,3660
2006,茶,宮崎県,1580,15100,3110
2007,茶,宮崎県,1620,18800,3830
2008,茶,宮崎県,1650,18800,3850
2009,茶,宮崎県,1630,16500,3400
2010,茶,宮崎県,1610,17400,3570
2011,茶,宮崎県,1580,17700,3670
2012,茶,宮崎県,1560,19200,4060
2013,茶,宮崎県,1540,19300,4100
2014,茶,宮崎県,1510,18500,3870
2015,茶,宮崎県,1450,17300,3620
2016,茶,宮崎県,1420,17900,3760
2017,茶,宮崎県,1410,18000,3770
2018,茶,宮崎県,1390,18100,3800
2019,茶,宮崎県,1380,16600,3510
2020,茶,宮崎県,1330,14600,3060
2021,茶,宮崎県,1270,14400,3050
1985,茶,鹿児島県,7610,59500,12400
1986,茶,鹿児島県,7620,63100,13100
1987,茶,鹿児島県,7670,64800,13400
1988,茶,鹿児島県,7650,62000,12700
1989,茶,鹿児島県,7580,67300,13800
1990,茶,鹿児島県,7590,67600,13800
1991,茶,鹿児島県,7590,66100,13500
1992,茶,鹿児島県,7560,72300,14900
1993,茶,鹿児島県,7530,73100,15100
1994,茶,鹿児島県,7440,67600,14000
1995,茶,鹿児島県,7460,74300,15400
1996,茶,鹿児島県,7400,86400,17800
1997,茶,鹿児島県,7560,88800,18300
1998,茶,鹿児島県,7740,84400,17000
1999,茶,鹿児島県,7900,91200,18400
2000,茶,鹿児島県,8040,93700,18900
2001,茶,鹿児島県,8190,98200,19800
2002,茶,鹿児島県,8300,92800,18400
2003,茶,鹿児島県,8350,107000,21300
2004,茶,鹿児島県,8380,123500,25200
2005,茶,鹿児島県,8390,116600,23900
2006,茶,鹿児島県,8460,114500,23300
2007,茶,鹿児島県,8530,118800,24100
2008,茶,鹿児島県,8660,127500,26000
2009,茶,鹿児島県,8690,112900,23400
2010,茶,鹿児島県,8690,119200,24600
2011,茶,鹿児島県,8670,115000,23800
2012,茶,鹿児島県,8680,127600,26000
2013,茶,鹿児島県,8660,123000,25600
2014,茶,鹿児島県,8670,120300,24600
2015,茶,鹿児島県,8610,110900,22700
2016,茶,鹿児島県,8520,120700,24600
2017,茶,鹿児島県,8430,128500,26600
2018,茶,鹿児島県,8410,137700,28100
2019,茶,鹿児島県,8400,137300,28000
2020,茶,鹿児島県,8360,118400,23900
2021,茶,鹿児島県,8300,127500,26500
1985,茶,沖縄県,72,776,154
1986,茶,沖縄県,71,663,134
1987,茶,沖縄県,66,600,119
1988,茶,沖縄県,64,546,109
1989,茶,沖縄県,65,531,104
1990,茶,沖縄県,66,482,92
1991,茶,沖縄県,65,424,85
1992,茶,沖縄県,63,486,96
1993,茶,沖縄県,63,538,108
1994,茶,沖縄県,62,NA,NA
1995,茶,沖縄県,64,NA,NA
1996,茶,沖縄県,55,470,95
1997,茶,沖縄県,52,NA,NA
1998,茶,沖縄県,48,NA,NA
1999,茶,沖縄県,51,413,84
2000,茶,沖縄県,45,NA,NA
2001,茶,沖縄県,42,NA,NA
2002,茶,沖縄県,41,368,72
2003,茶,沖縄県,40,341,68
2004,茶,沖縄県,39,364,70
2005,茶,沖縄県,41,NA,NA
2006,茶,沖縄県,40,NA,NA
2007,茶,沖縄県,42,NA,NA
2008,茶,沖縄県,45,NA,NA
2009,茶,沖縄県,41,278,57
2010,茶,沖縄県,41,NA,NA
2011,茶,沖縄県,40,NA,NA
2012,茶,沖縄県,38,NA,NA
2013,茶,沖縄県,36,NA,NA
2014,茶,沖縄県,32,152,31
2015,茶,沖縄県,31,NA,NA
2016,茶,沖縄県,30,NA,NA
2017,茶,沖縄県,NA,NA,NA
2018,茶,沖縄県,NA,NA,NA
2019,茶,沖縄県,NA,NA,NA
2020,茶,沖縄県,24,111,24
2021,茶,沖縄県,NA,NA,NA
